CPC;EcoSpold01Categories;ISIC rev.4 ecoinvent;code;database;location;material_group;name;production amount;reference product;unit
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;7ec3453a19fbbc2ab0a2e99aace7635f;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;VN;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;b3cbb6c53b9c46d1ac1fd1105c4af547;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;OAS;cement;market for cement, CEM II/A-S;;cement, CEM II/A-S;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;22e3e60d3bcd40ec34db8407408e1e31;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;PH;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;8237317c1ab04d098ce4640625175b3d;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;IND;cement;market for cement, type IP;;cement, type IP;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;8b094a97555448598eec99b580d278d9;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;NEU;hydrogen;market for hydrogen, gaseous;;hydrogen, gaseous;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;d9b85ba341fc1a24bff09e8a077cb7af;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;KW;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;2c5890bc7bea4c4bba16547fe2f057b4;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;EUR;cement;market for cement mortar;;cement mortar;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;05cc13704b04a88621f23f2454a5ee45;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;LT;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
12020: Natural gas, liquefied or in the gaseous state;;"3520:Manufacture of gas; distribution of gaseous fuels through mains";d1e92c48966a479cac2b629f39aeb67e;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;IND;natural gas;market for natural gas, high pressure, 40-year period;;natural gas, high pressure;cubic meter
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;24f2967ff37441c08beb7b4f46395d71;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;SSA;hydrogen;market for hydrogen, gaseous, 20-year period;;hydrogen, gaseous;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;28935f104f1885d372147180f14d85c1;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;FI;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;5ed0e9e0db2d4d28929bf4066cc78e10;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;LAM;cement;market for cement mortar;;cement mortar;kilogram
3932: Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…];;2394:Manufacture of cement, lime and plaster;ace6ef4cf3c94a9b989fb12fdda67447;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;SSA;cement;market for cement, Pozzolana Portland;;cement, Pozzolana Portland;kilogram
17100: Electrical energy;photovoltaic/power plants;3510:Electric power generation, transmission and distribution;c3f4b986b0837d17225835810d1bc66e;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;CR;electricity;market for electricity, low voltage;;electricity, low voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;7608e7b4bdddac9f9e80437fc91fe5c3;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;SS;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;185b30baecfb98f256a54d963f6f4134;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;TN;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
374: Plaster, lime and cement;;2394:Manufacture of cement, lime and plaster;63f423e4b9a4404f8a71b1f2b0f7b2b3;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;IND;cement;market for cement, CEM II/A;;cement, CEM II/A;kilogram
"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.";;1920:Manufacture of refined petroleum products;c4fa65f66793491abf6e22a768696a33;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;JPN;hydrogen;market for hydrogen, gaseous, 40-year period;;hydrogen, gaseous;kilogram
37: Glass and glass products and other non-metallic products n.e.c.;mortar and plaster/production;2394:Manufacture of cement, lime and plaster;04bfdd784a1f433896a3c4316b7221ec;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;MEA;cement;market for cement mortar;;cement mortar;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;c92ee1c194344464904492496c03a435;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;OAS;cement;market for cement, CP II-E;;cement, CP II-E;kilogram
17100: Electrical energy;;3510:Electric power generation, transmission and distribution;2837ddafab1d6a974e4a2d2311594b33;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;SI;electricity;market for electricity, high voltage;;electricity, high voltage;kilowatt hour
"34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.";;2011:Manufacture of basic chemicals;98916038b56e9f9d8144eb118f5a0dd0;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;GLO;lithium;market for lithium carbonate;;lithium carbonate;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;2e747b56249e4a3ba6c5d1b882f5e6e2;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;REF;cement;market for cement, CEM IV/B;;cement, CEM IV/B;kilogram
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;036999c0b9fb45f3b7b8546cd853e85c;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;NEU;cement;market for cement, type I-PM;;cement, type I-PM;kilogram
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;aac40a7f334b4184025b6f3d49561e4d;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;IN-Eastern grid;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
17100: Electrical energy;natural gas/power plants;3510:Electric power generation, transmission and distribution;15e0cef041993f3fac638b330af58347;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;US-HICC;electricity;market for electricity, medium voltage;;electricity, medium voltage;kilowatt hour
37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers;;2394:Manufacture of cement, lime and plaster;d0db6dde11f015e6ef67fa0bd6394adc;ecoinvent_cutoff_3.9_remind_SSP2-Base_2035;US;cement;market for cement, type IS;;cement, type IS;kilogram
