0;1;2;tuple
T-reX;Demand: Rare earth;Rare earth;('T-reX', 'Demand: Rare earth', 'Rare earth')
T-reX;Demand: Rhodium;Rhodium;('T-reX', 'Demand: Rhodium', 'Rhodium')
T-reX;Demand: Sand;Sand;('T-reX', 'Demand: Sand', 'Sand')
T-reX;Demand: Scandium;Scandium;('T-reX', 'Demand: Scandium', 'Scandium')
T-reX;Demand: Selenium;Selenium;('T-reX', 'Demand: Selenium', 'Selenium')
T-reX;Demand: Silicon;Silicon;('T-reX', 'Demand: Silicon', 'Silicon')
T-reX;Demand: Silver;Silver;('T-reX', 'Demand: Silver', 'Silver')
T-reX;Demand: Strontium;Strontium;('T-reX', 'Demand: Strontium', 'Strontium')
T-reX;Demand: Tantalum;Tantalum;('T-reX', 'Demand: Tantalum', 'Tantalum')
T-reX;Demand: Tellurium;Tellurium;('T-reX', 'Demand: Tellurium', 'Tellurium')
T-reX;Demand: Tin;Tin;('T-reX', 'Demand: Tin', 'Tin')
T-reX;Demand: Titanium;Titanium;('T-reX', 'Demand: Titanium', 'Titanium')
T-reX;Demand: Tungsten;Tungsten;('T-reX', 'Demand: Tungsten', 'Tungsten')
T-reX;Demand: Uranium;Uranium;('T-reX', 'Demand: Uranium', 'Uranium')
T-reX;Demand: Vegetable oil;Vegetable oil;('T-reX', 'Demand: Vegetable oil', 'Vegetable oil')
T-reX;Demand: Water;Water;('T-reX', 'Demand: Water', 'Water')
T-reX;Demand: Zinc;Zinc;('T-reX', 'Demand: Zinc', 'Zinc')
T-reX;Demand: Zirconium;Zirconium;('T-reX', 'Demand: Zirconium', 'Zirconium')
T-reX;Waste: Carbondioxide combined;Carbondioxide (kg);('T-reX', 'Waste: Carbondioxide combined', 'Carbondioxide (kg)')
T-reX;Waste: Composting combined;Composting (kg);('T-reX', 'Waste: Composting combined', 'Composting (kg)')
T-reX;Waste: Digestion combined;Digestion (m3);('T-reX', 'Waste: Digestion combined', 'Digestion (m3)')
T-reX;Waste: Digestion combined;Digestion (kg);('T-reX', 'Waste: Digestion combined', 'Digestion (kg)')
T-reX;Waste: Hazardous combined;Hazardous (m3);('T-reX', 'Waste: Hazardous combined', 'Hazardous (m3)')
T-reX;Waste: Hazardous combined;Hazardous (kg);('T-reX', 'Waste: Hazardous combined', 'Hazardous (kg)')
T-reX;Waste: Incineration combined;Incineration (m3);('T-reX', 'Waste: Incineration combined', 'Incineration (m3)')
T-reX;Waste: Incineration combined;Incineration (kg);('T-reX', 'Waste: Incineration combined', 'Incineration (kg)')
T-reX;Waste: Landfill combined;Landfill (m3);('T-reX', 'Waste: Landfill combined', 'Landfill (m3)')
T-reX;Waste: Landfill combined;Landfill (kg);('T-reX', 'Waste: Landfill combined', 'Landfill (kg)')
T-reX;Waste: Openburning combined;Openburning (kg);('T-reX', 'Waste: Openburning combined', 'Openburning (kg)')
T-reX;Waste: Radioactive combined;Radioactive (m3);('T-reX', 'Waste: Radioactive combined', 'Radioactive (m3)')
T-reX;Waste: Recycling combined;Recycling (kg);('T-reX', 'Waste: Recycling combined', 'Recycling (kg)')
T-reX;Waste: Total combined;Total (m3);('T-reX', 'Waste: Total combined', 'Total (m3)')
T-reX;Waste: Total combined;Total (kg);('T-reX', 'Waste: Total combined', 'Total (kg)')
