('09/25/2023, 15:07:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.355014')
('09/25/2023, 15:07:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.419303')
('09/25/2023, 15:07:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.224313')
('09/25/2023, 15:07:50', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:02.233244')
('09/25/2023, 15:07:52', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:01.587656')
('09/25/2023, 15:08:05', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_copper', 'additions', 971, 'duration:', '0:00:13.633187')
('09/25/2023, 15:16:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_electricity', 'additions', 31306, 'duration:', '0:08:05.936974')
('09/25/2023, 15:16:12', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.480363')
('09/25/2023, 15:16:12', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.048354')
('09/25/2023, 15:16:12', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.142628')
('09/25/2023, 15:16:12', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.514655')
('09/25/2023, 15:16:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.740357')
('09/25/2023, 15:16:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.141048')
('09/25/2023, 15:16:14', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.882254')
('09/25/2023, 15:16:14', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.182653')
('09/25/2023, 15:16:15', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.903572')
('09/25/2023, 15:18:04', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_natural gas', 'additions', 6647, 'duration:', '0:01:48.550009')
('09/25/2023, 15:18:10', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_nickel', 'additions', 359, 'duration:', '0:00:05.929504')
('09/25/2023, 15:18:10', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_palladium', 'additions', 35, 'duration:', '0:00:00.571771')
('09/25/2023, 15:18:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:03.223188')
('09/25/2023, 15:18:17', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.572003')
('09/25/2023, 15:18:20', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_platinum', 'additions', 163, 'duration:', '0:00:02.641521')
('09/25/2023, 15:18:20', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.495065')
('09/25/2023, 15:18:20', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.198622')
('09/25/2023, 15:18:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_sand', 'additions', 609, 'duration:', '0:00:09.954387')
('09/25/2023, 15:18:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.016384')
('09/25/2023, 15:18:32', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_silicon', 'additions', 127, 'duration:', '0:00:02.071734')
('09/25/2023, 15:18:33', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_silver', 'additions', 50, 'duration:', '0:00:00.779404')
('09/25/2023, 15:18:33', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.030697')
('09/25/2023, 15:18:33', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.029834')
('09/25/2023, 15:18:33', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.079375')
('09/25/2023, 15:18:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_vegetable oil', 'additions', 37, 'duration:', '0:00:00.592012')
('09/25/2023, 15:21:49', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_water', 'additions', 11815, 'duration:', '0:03:15.404044')
('09/25/2023, 15:21:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_zinc', 'additions', 253, 'duration:', '0:00:04.300726')
('09/25/2023, 15:21:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.418805')
('09/25/2023, 15:21:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.250778')
('09/25/2023, 15:21:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.066075')
('09/25/2023, 15:22:02', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_hazardous_cubicmeter', 'additions', 461, 'duration:', '0:00:07.698498')
